test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,total_bits_processed,result,expected,correct,trial_tree,trial_run,leaf_values
baseline_plain,2,4,2,GF(8),xor,1.4543533325195312e-05,3,3,2,2,True,0,0,"[0, 0, 1, 3]"
logn_loglogn,2,4,2,GF(8),xor,0.16016459465026855,6,287,2,2,True,0,0,"[0, 0, 1, 3]"
baseline_plain,2,4,2,GF(8),xor,7.62939453125e-06,4,8,0,0,True,1,0,"[3, 3, 2, 2]"
logn_loglogn,2,4,2,GF(8),xor,0.0029442310333251953,6,287,0,0,True,1,0,"[3, 3, 2, 2]"
baseline_plain,2,4,2,GF(8),xor,5.245208740234375e-06,6,12,3,3,True,2,0,"[2, 0, 2, 3]"
logn_loglogn,2,4,2,GF(8),xor,0.002866983413696289,6,287,3,3,True,2,0,"[2, 0, 2, 3]"
baseline_plain,2,4,2,GF(8),xor,4.5299530029296875e-06,4,8,1,1,True,3,0,"[1, 0, 3, 3]"
logn_loglogn,2,4,2,GF(8),xor,0.0028548240661621094,6,287,1,1,True,3,0,"[1, 0, 3, 3]"
baseline_plain,2,4,2,GF(8),xor,4.76837158203125e-06,7,12,1,1,True,4,0,"[1, 2, 1, 3]"
logn_loglogn,2,4,2,GF(8),xor,0.0031778812408447266,6,287,1,1,True,4,0,"[1, 2, 1, 3]"
baseline_plain,2,4,2,GF(8),xor,6.4373016357421875e-06,1,2,0,0,True,5,0,"[1, 1, 0, 0]"
logn_loglogn,2,4,2,GF(8),xor,0.003106355667114258,6,287,0,0,True,5,0,"[1, 1, 0, 0]"
baseline_plain,2,4,2,GF(8),xor,5.245208740234375e-06,7,12,1,1,True,6,0,"[1, 3, 2, 1]"
logn_loglogn,2,4,2,GF(8),xor,0.0032355785369873047,6,287,1,1,True,6,0,"[1, 3, 2, 1]"
baseline_plain,2,4,2,GF(8),xor,6.67572021484375e-06,1,1,1,1,True,7,0,"[0, 0, 1, 0]"
logn_loglogn,2,4,2,GF(8),xor,0.002974271774291992,6,287,1,1,True,7,0,"[0, 0, 1, 0]"
baseline_plain,2,4,2,GF(8),xor,7.152557373046875e-06,5,12,0,0,True,8,0,"[1, 3, 1, 3]"
logn_loglogn,2,4,2,GF(8),xor,0.0030202865600585938,6,287,0,0,True,8,0,"[1, 3, 1, 3]"
baseline_plain,2,4,2,GF(8),xor,5.7220458984375e-06,5,9,2,2,True,9,0,"[2, 3, 0, 3]"
logn_loglogn,2,4,2,GF(8),xor,0.0031337738037109375,6,287,2,2,True,9,0,"[2, 3, 0, 3]"
