test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,result,expected,correct,trial_tree,trial_run,leaf_values
logn_loglogn,4,16,2,GF(32),xor,197.49375081062317,12,3,3,True,0,0,"[2, 2, 0, 3, 1, 3, 2, 3, 2, 3, 0, 1, 0, 1, 1, 3]"
baseline_plain,4,16,2,GF(32),xor,6.9141387939453125e-06,,2,2,True,1,0,"[0, 1, 1, 1, 1, 3, 2, 2, 3, 3, 0, 1, 2, 3, 3, 2]"
logn_loglogn,4,16,2,GF(32),xor,200.91042709350586,12,2,2,True,1,0,"[0, 1, 1, 1, 1, 3, 2, 2, 3, 3, 0, 1, 2, 3, 3, 2]"
baseline_plain,4,16,2,GF(32),xor,5.245208740234375e-06,,3,3,True,2,0,"[1, 0, 2, 0, 0, 0, 2, 1, 0, 3, 0, 1, 1, 0, 1, 1]"
logn_loglogn,4,16,2,GF(32),xor,191.88561844825745,12,3,3,True,2,0,"[1, 0, 2, 0, 0, 0, 2, 1, 0, 3, 0, 1, 1, 0, 1, 1]"
baseline_plain,4,16,2,GF(32),xor,6.4373016357421875e-06,,2,2,True,3,0,"[1, 3, 2, 2, 3, 1, 0, 3, 0, 2, 0, 1, 0, 1, 0, 3]"
logn_loglogn,4,16,2,GF(32),xor,198.39861607551575,12,2,2,True,3,0,"[1, 3, 2, 2, 3, 1, 0, 3, 0, 2, 0, 1, 0, 1, 0, 3]"
baseline_plain,4,16,2,GF(32),xor,6.67572021484375e-06,,1,1,True,4,0,"[2, 1, 1, 2, 2, 3, 2, 1, 2, 3, 1, 0, 1, 3, 3, 2]"
logn_loglogn,4,16,2,GF(32),xor,193.20842933654785,12,1,1,True,4,0,"[2, 1, 1, 2, 2, 3, 2, 1, 2, 3, 1, 0, 1, 3, 3, 2]"
baseline_plain,4,16,2,GF(32),xor,5.7220458984375e-06,,2,2,True,5,0,"[3, 0, 2, 1, 3, 3, 1, 2, 0, 0, 3, 0, 3, 1, 2, 2]"
logn_loglogn,4,16,2,GF(32),xor,194.71114993095398,12,2,2,True,5,0,"[3, 0, 2, 1, 3, 3, 1, 2, 0, 0, 3, 0, 3, 1, 2, 2]"
baseline_plain,4,16,2,GF(32),xor,5.4836273193359375e-06,,3,3,True,6,0,"[2, 0, 1, 1, 0, 2, 3, 1, 3, 2, 3, 0, 0, 3, 3, 3]"
logn_loglogn,4,16,2,GF(32),xor,196.18343091011047,12,3,3,True,6,0,"[2, 0, 1, 1, 0, 2, 3, 1, 3, 2, 3, 0, 0, 3, 3, 3]"
baseline_plain,4,16,2,GF(32),xor,5.0067901611328125e-06,,2,2,True,7,0,"[0, 2, 3, 2, 0, 2, 0, 2, 2, 3, 3, 3, 3, 3, 1, 1]"
logn_loglogn,4,16,2,GF(32),xor,198.2312877178192,12,2,2,True,7,0,"[0, 2, 3, 2, 0, 2, 0, 2, 2, 3, 3, 3, 3, 3, 1, 1]"
baseline_plain,4,16,2,GF(32),xor,6.198883056640625e-06,,2,2,True,8,0,"[0, 2, 2, 0, 1, 2, 0, 1, 3, 0, 0, 1, 3, 1, 0, 0]"
logn_loglogn,4,16,2,GF(32),xor,209.23635840415955,12,2,2,True,8,0,"[0, 2, 2, 0, 1, 2, 0, 1, 3, 0, 0, 1, 3, 1, 0, 0]"
baseline_plain,4,16,2,GF(32),xor,5.245208740234375e-06,,1,1,True,9,0,"[3, 2, 2, 3, 3, 0, 2, 0, 0, 0, 0, 0, 2, 2, 1, 1]"
logn_loglogn,4,16,2,GF(32),xor,218.50111484527588,12,1,1,True,9,0,"[3, 2, 2, 3, 3, 0, 2, 0, 0, 0, 0, 0, 2, 2, 1, 1]"
baseline_plain,2,4,2,GF(32),and,4.0531158447265625e-06,,0,0,True,0,0,"[2, 1, 1, 1]"
logn_loglogn,2,4,2,GF(32),and,0.012986183166503906,12,0,0,True,0,0,"[2, 1, 1, 1]"
baseline_plain,2,4,2,GF(32),and,3.814697265625e-06,,0,0,True,1,0,"[0, 1, 2, 0]"
logn_loglogn,2,4,2,GF(32),and,0.013022661209106445,12,0,0,True,1,0,"[0, 1, 2, 0]"
baseline_plain,2,4,2,GF(32),and,2.6226043701171875e-06,,0,0,True,2,0,"[3, 1, 2, 1]"
logn_loglogn,2,4,2,GF(32),and,0.013457298278808594,12,0,0,True,2,0,"[3, 1, 2, 1]"
baseline_plain,2,4,2,GF(32),and,2.6226043701171875e-06,,0,0,True,3,0,"[0, 2, 0, 1]"
logn_loglogn,2,4,2,GF(32),and,0.013260126113891602,12,0,0,True,3,0,"[0, 2, 0, 1]"
baseline_plain,2,4,2,GF(32),and,2.86102294921875e-06,,0,0,True,4,0,"[1, 2, 3, 0]"
logn_loglogn,2,4,2,GF(32),and,0.013377189636230469,12,0,0,True,4,0,"[1, 2, 3, 0]"
baseline_plain,2,4,2,GF(32),and,3.337860107421875e-06,,0,0,True,5,0,"[1, 3, 3, 0]"
logn_loglogn,2,4,2,GF(32),and,0.012730598449707031,12,0,0,True,5,0,"[1, 3, 3, 0]"
baseline_plain,2,4,2,GF(32),and,2.86102294921875e-06,,0,0,True,6,0,"[3, 2, 2, 0]"
logn_loglogn,2,4,2,GF(32),and,0.013071060180664062,12,0,0,True,6,0,"[3, 2, 2, 0]"
baseline_plain,2,4,2,GF(32),and,2.6226043701171875e-06,,0,0,True,7,0,"[0, 2, 3, 2]"
logn_loglogn,2,4,2,GF(32),and,0.012856721878051758,12,0,0,True,7,0,"[0, 2, 3, 2]"
baseline_plain,2,4,2,GF(32),and,2.86102294921875e-06,,0,0,True,8,0,"[3, 3, 0, 3]"
logn_loglogn,2,4,2,GF(32),and,0.012539863586425781,12,0,0,True,8,0,"[3, 3, 0, 3]"
baseline_plain,2,4,2,GF(32),and,2.6226043701171875e-06,,1,1,True,9,0,"[1, 3, 1, 3]"
logn_loglogn,2,4,2,GF(32),and,0.012796163558959961,12,1,1,True,9,0,"[1, 3, 1, 3]"
baseline_plain,3,8,2,GF(32),and,4.291534423828125e-06,,0,0,True,0,0,"[1, 0, 1, 1, 0, 3, 3, 3]"
logn_loglogn,3,8,2,GF(32),and,1.6348094940185547,12,0,0,True,0,0,"[1, 0, 1, 1, 0, 3, 3, 3]"
baseline_plain,3,8,2,GF(32),and,5.245208740234375e-06,,0,0,True,1,0,"[0, 1, 1, 1, 3, 3, 2, 0]"
logn_loglogn,3,8,2,GF(32),and,1.6080269813537598,12,0,0,True,1,0,"[0, 1, 1, 1, 3, 3, 2, 0]"
baseline_plain,3,8,2,GF(32),and,4.0531158447265625e-06,,0,0,True,2,0,"[1, 0, 1, 0, 0, 0, 3, 0]"
logn_loglogn,3,8,2,GF(32),and,1.595247745513916,12,0,0,True,2,0,"[1, 0, 1, 0, 0, 0, 3, 0]"
baseline_plain,3,8,2,GF(32),and,4.76837158203125e-06,,0,0,True,3,0,"[2, 2, 3, 3, 1, 3, 3, 2]"
logn_loglogn,3,8,2,GF(32),and,1.5242319107055664,12,0,0,True,3,0,"[2, 2, 3, 3, 1, 3, 3, 2]"
baseline_plain,3,8,2,GF(32),and,4.0531158447265625e-06,,0,0,True,4,0,"[0, 1, 1, 2, 3, 3, 0, 3]"
logn_loglogn,3,8,2,GF(32),and,1.5728003978729248,12,0,0,True,4,0,"[0, 1, 1, 2, 3, 3, 0, 3]"
baseline_plain,3,8,2,GF(32),and,1.6927719116210938e-05,,0,0,True,5,0,"[3, 1, 3, 2, 1, 2, 2, 3]"
logn_loglogn,3,8,2,GF(32),and,1.5844829082489014,12,0,0,True,5,0,"[3, 1, 3, 2, 1, 2, 2, 3]"
baseline_plain,3,8,2,GF(32),and,4.5299530029296875e-06,,0,0,True,6,0,"[0, 2, 2, 3, 0, 2, 1, 2]"
logn_loglogn,3,8,2,GF(32),and,1.5984783172607422,12,0,0,True,6,0,"[0, 2, 2, 3, 0, 2, 1, 2]"
baseline_plain,3,8,2,GF(32),and,6.198883056640625e-06,,0,0,True,7,0,"[2, 0, 2, 3, 3, 1, 3, 1]"
logn_loglogn,3,8,2,GF(32),and,1.5395557880401611,12,0,0,True,7,0,"[2, 0, 2, 3, 3, 1, 3, 1]"
baseline_plain,3,8,2,GF(32),and,3.814697265625e-06,,0,0,True,8,0,"[2, 3, 3, 0, 0, 0, 0, 2]"
logn_loglogn,3,8,2,GF(32),and,1.545593500137329,12,0,0,True,8,0,"[2, 3, 3, 0, 0, 0, 0, 2]"
baseline_plain,3,8,2,GF(32),and,4.291534423828125e-06,,0,0,True,9,0,"[3, 2, 0, 0, 3, 1, 2, 3]"
logn_loglogn,3,8,2,GF(32),and,1.561293601989746,12,0,0,True,9,0,"[3, 2, 0, 0, 3, 1, 2, 3]"
baseline_plain,4,16,2,GF(32),and,5.245208740234375e-06,,0,0,True,0,0,"[0, 3, 1, 3, 2, 0, 0, 3, 3, 2, 3, 2, 2, 2, 2, 3]"
logn_loglogn,4,16,2,GF(32),and,200.30592131614685,12,0,0,True,0,0,"[0, 3, 1, 3, 2, 0, 0, 3, 3, 2, 3, 2, 2, 2, 2, 3]"
