test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,total_bits_processed,result,expected,correct,trial_tree,trial_run,leaf_values
baseline_plain,4,16,2,GF(32),xor,1.1920928955078125e-05,3,11,1,1,True,0,0,"[2, 2, 0, 0, 0, 2, 1, 0, 2, 0, 1, 0, 0, 0, 1, 0]"
logn_loglogn,4,16,2,GF(32),xor,184.63260006904602,6,19174747,1,1,True,0,0,"[2, 2, 0, 0, 0, 2, 1, 0, 2, 0, 1, 0, 0, 0, 1, 0]"
baseline_plain,4,16,2,GF(32),xor,1.4066696166992188e-05,6,31,1,1,True,1,0,"[1, 0, 0, 1, 0, 1, 0, 2, 2, 0, 3, 0, 3, 2, 1, 3]"
logn_loglogn,4,16,2,GF(32),xor,185.84857058525085,6,19174747,1,1,True,1,0,"[1, 0, 0, 1, 0, 1, 0, 2, 2, 0, 3, 0, 3, 2, 1, 3]"
baseline_plain,4,16,2,GF(32),xor,1.2874603271484375e-05,6,33,0,0,True,2,0,"[3, 2, 0, 1, 3, 1, 1, 3, 2, 0, 0, 1, 3, 0, 1, 1]"
logn_loglogn,4,16,2,GF(32),xor,185.42067527770996,6,19174747,0,0,True,2,0,"[3, 2, 0, 1, 3, 1, 1, 3, 2, 0, 0, 1, 3, 0, 1, 1]"
baseline_plain,4,16,2,GF(32),xor,1.239776611328125e-05,6,34,3,3,True,3,0,"[2, 3, 1, 1, 0, 3, 3, 2, 1, 2, 0, 0, 1, 3, 0, 1]"
logn_loglogn,4,16,2,GF(32),xor,198.51545453071594,6,19174747,3,3,True,3,0,"[2, 3, 1, 1, 0, 3, 3, 2, 1, 2, 0, 0, 1, 3, 0, 1]"
baseline_plain,4,16,2,GF(32),xor,1.33514404296875e-05,6,37,0,0,True,4,0,"[3, 2, 1, 0, 3, 2, 3, 1, 2, 3, 0, 3, 0, 3, 2, 0]"
logn_loglogn,4,16,2,GF(32),xor,202.36527061462402,6,19174747,0,0,True,4,0,"[3, 2, 1, 0, 3, 2, 3, 1, 2, 3, 0, 3, 0, 3, 2, 0]"
baseline_plain,4,16,2,GF(32),xor,2.2649765014648438e-05,5,22,3,3,True,5,0,"[3, 3, 1, 3, 0, 1, 3, 0, 2, 1, 0, 2, 1, 3, 2, 2]"
