test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,total_bits_processed,result,expected,correct,trial_tree,trial_run,leaf_values
baseline_plain,4,16,3,GF(16),xor,1.52587890625e-05,16,62,4,4,True,0,0,"[3, 1, 5, 7, 1, 7, 1, 3, 1, 2, 3, 1, 5, 4, 3, 3]"
logn_loglogn,4,16,3,GF(16),xor,33.101436614990234,9,3276610,4,4,True,0,0,"[3, 1, 5, 7, 1, 7, 1, 3, 1, 2, 3, 1, 5, 4, 3, 3]"
baseline_plain,4,16,3,GF(16),xor,1.430511474609375e-05,17,86,1,1,True,1,0,"[2, 6, 6, 7, 0, 1, 6, 4, 7, 3, 7, 4, 7, 7, 4, 4]"
logn_loglogn,4,16,3,GF(16),xor,36.76337957382202,9,3276610,1,1,True,1,0,"[2, 6, 6, 7, 0, 1, 6, 4, 7, 3, 7, 4, 7, 7, 4, 4]"
baseline_plain,4,16,3,GF(16),xor,1.3828277587890625e-05,17,75,2,2,True,2,0,"[2, 5, 3, 3, 3, 0, 5, 1, 3, 0, 2, 3, 4, 1, 6, 3]"
logn_loglogn,4,16,3,GF(16),xor,36.527159690856934,9,3276610,2,2,True,2,0,"[2, 5, 3, 3, 3, 0, 5, 1, 3, 0, 2, 3, 4, 1, 6, 3]"
baseline_plain,4,16,3,GF(16),xor,1.33514404296875e-05,20,83,6,6,True,3,0,"[2, 7, 4, 2, 4, 1, 6, 0, 3, 7, 7, 2, 4, 4, 2, 5]"
logn_loglogn,4,16,3,GF(16),xor,35.41985011100769,9,3276610,6,6,True,3,0,"[2, 7, 4, 2, 4, 1, 6, 0, 3, 7, 7, 2, 4, 4, 2, 5]"
baseline_plain,4,16,3,GF(16),xor,1.5020370483398438e-05,17,31,5,5,True,4,0,"[0, 0, 1, 5, 7, 6, 3, 2, 0, 5, 4, 7, 2, 3, 7, 1]"
logn_loglogn,4,16,3,GF(16),xor,35.4095184803009,9,3276610,5,5,True,4,0,"[0, 0, 1, 5, 7, 6, 3, 2, 0, 5, 4, 7, 2, 3, 7, 1]"
baseline_plain,4,16,3,GF(16),xor,1.4066696166992188e-05,13,63,4,4,True,5,0,"[7, 4, 5, 4, 3, 5, 0, 0, 7, 3, 0, 3, 3, 3, 4, 3]"
logn_loglogn,4,16,3,GF(16),xor,36.011515617370605,9,3276610,4,4,True,5,0,"[7, 4, 5, 4, 3, 5, 0, 0, 7, 3, 0, 3, 3, 3, 4, 3]"
baseline_plain,4,16,3,GF(16),xor,1.3113021850585938e-05,17,78,6,6,True,6,0,"[2, 6, 7, 5, 5, 0, 0, 7, 6, 0, 2, 7, 4, 2, 7, 0]"
logn_loglogn,4,16,3,GF(16),xor,35.66177225112915,9,3276610,6,6,True,6,0,"[2, 6, 7, 5, 5, 0, 0, 7, 6, 0, 2, 7, 4, 2, 7, 0]"
baseline_plain,4,16,3,GF(16),xor,1.33514404296875e-05,19,82,7,7,True,7,0,"[3, 4, 5, 3, 0, 2, 5, 4, 7, 2, 6, 6, 2, 7, 5, 0]"
logn_loglogn,4,16,3,GF(16),xor,36.43910002708435,9,3276610,7,7,True,7,0,"[3, 4, 5, 3, 0, 2, 5, 4, 7, 2, 6, 6, 2, 7, 5, 0]"
baseline_plain,4,16,3,GF(16),xor,1.5735626220703125e-05,17,79,7,7,True,8,0,"[2, 7, 7, 6, 2, 5, 3, 5, 6, 7, 2, 1, 3, 0, 0, 3]"
logn_loglogn,4,16,3,GF(16),xor,37.52111840248108,9,3276610,7,7,True,8,0,"[2, 7, 7, 6, 2, 5, 3, 5, 6, 7, 2, 1, 3, 0, 0, 3]"
baseline_plain,4,16,3,GF(16),xor,1.3589859008789062e-05,15,49,4,4,True,9,0,"[7, 6, 2, 0, 2, 7, 1, 7, 5, 3, 5, 1, 1, 6, 3, 2]"
logn_loglogn,4,16,3,GF(16),xor,35.670552492141724,9,3276610,4,4,True,9,0,"[7, 6, 2, 0, 2, 7, 1, 7, 5, 3, 5, 1, 1, 6, 3, 2]"
baseline_plain,2,4,3,GF(16),and,7.152557373046875e-06,6,6,0,0,True,0,0,"[0, 2, 1, 4]"
logn_loglogn,2,4,3,GF(16),and,0.00935053825378418,9,910,0,0,True,0,0,"[0, 2, 1, 4]"
baseline_plain,2,4,3,GF(16),and,7.3909759521484375e-06,8,8,0,0,True,1,0,"[2, 0, 7, 5]"
logn_loglogn,2,4,3,GF(16),and,0.009303808212280273,9,910,0,0,True,1,0,"[2, 0, 7, 5]"
baseline_plain,2,4,3,GF(16),and,6.67572021484375e-06,10,12,0,0,True,2,0,"[1, 3, 4, 7]"
logn_loglogn,2,4,3,GF(16),and,0.011123180389404297,9,910,0,0,True,2,0,"[1, 3, 4, 7]"
baseline_plain,2,4,3,GF(16),and,7.62939453125e-06,7,19,1,1,True,3,0,"[5, 5, 1, 5]"
logn_loglogn,2,4,3,GF(16),and,0.012127399444580078,9,910,1,1,True,3,0,"[5, 5, 1, 5]"
baseline_plain,2,4,3,GF(16),and,1.0967254638671875e-05,9,18,0,0,True,4,0,"[6, 5, 5, 0]"
logn_loglogn,2,4,3,GF(16),and,0.012290716171264648,9,910,0,0,True,4,0,"[6, 5, 5, 0]"
baseline_plain,2,4,3,GF(16),and,7.3909759521484375e-06,4,5,0,0,True,5,0,"[1, 0, 1, 7]"
logn_loglogn,2,4,3,GF(16),and,0.009102106094360352,9,910,0,0,True,5,0,"[1, 0, 1, 7]"
baseline_plain,2,4,3,GF(16),and,1.2159347534179688e-05,10,19,0,0,True,6,0,"[5, 5, 1, 6]"
logn_loglogn,2,4,3,GF(16),and,0.012404680252075195,9,910,0,0,True,6,0,"[5, 5, 1, 6]"
baseline_plain,2,4,3,GF(16),and,6.9141387939453125e-06,11,17,0,0,True,7,0,"[7, 5, 3, 0]"
logn_loglogn,2,4,3,GF(16),and,0.009195327758789062,9,910,0,0,True,7,0,"[7, 5, 3, 0]"
baseline_plain,2,4,3,GF(16),and,1.0967254638671875e-05,5,7,0,0,True,8,0,"[2, 0, 7, 2]"
logn_loglogn,2,4,3,GF(16),and,0.018556833267211914,9,910,0,0,True,8,0,"[2, 0, 7, 2]"
baseline_plain,2,4,3,GF(16),and,1.049041748046875e-05,10,19,0,0,True,9,0,"[7, 7, 1, 4]"
logn_loglogn,2,4,3,GF(16),and,0.010859012603759766,9,910,0,0,True,9,0,"[7, 7, 1, 4]"
baseline_plain,3,8,3,GF(16),and,1.0251998901367188e-05,9,15,0,0,True,0,0,"[3, 0, 5, 3, 4, 5, 1, 1]"
logn_loglogn,3,8,3,GF(16),and,0.5812287330627441,9,54610,0,0,True,0,0,"[3, 0, 5, 3, 4, 5, 1, 1]"
baseline_plain,3,8,3,GF(16),and,1.1205673217773438e-05,17,19,0,0,True,1,0,"[4, 1, 3, 7, 6, 3, 5, 2]"
logn_loglogn,3,8,3,GF(16),and,0.6289093494415283,9,54610,0,0,True,1,0,"[4, 1, 3, 7, 6, 3, 5, 2]"
